Movies Names,Rating out of 10,Count of Ratings,Release Date,Budget,Domestic Gross,Domestic Gross2,Domestic Weekend Gross,Domestic Weekend,Domestic Weekend Gross Date,Worldwide Gross
Green Book,8.2,566K,"November 21, 2018 (India)","$23,000,000 (estimated)",US & Canada,$85080171,US & Canada,$320429,Nov 18 2018,"$321,752,656"
The Father,8.2,191K,"April 23, 2021 (India)","$6,000,000 (estimated)",US & Canada,$2122771,US & Canada,Not Found,Not Found,"$24,048,935"
Judgment at Nuremberg,8.3,85K,"December 18, 1961 (Sweden)","$3,000,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$12,180"
All About Eve,8.2,138K,"May 1, 1951 (India)","$1,400,000 (estimated)",US & Canada,$63463,US & Canada,$10177,Oct 8 2000,"$152,366"
The Truman Show,8.2,1.2M,"November 14, 1998 (India)","$60,000,000 (estimated)",US & Canada,$125618201,US & Canada,$31542121,Jun 7 1998,"$264,118,712"
Top Gun: Maverick,8.2,688K,"May 27, 2022 (India)","$170,000,000 (estimated)",US & Canada,$718732821,US & Canada,$126707459,May 29 2022,"$1,495,696,292"
Shutter Island,8.2,1.4M,"June 4, 2010 (India)","$80,000,000 (estimated)",US & Canada,$128012934,US & Canada,$41062440,Feb 21 2010,"$294,850,027"
There Will Be Blood,8.2,639K,"January 30, 2008 (India)","$25,000,000 (estimated)",US & Canada,$40222514,US & Canada,$190739,Dec 30 2007,"$76,186,224"
Casino,8.2,562K,"July 3, 2013 (India)","$52,000,000 (estimated)",US & Canada,$42512375,US & Canada,$9946480,Nov 26 1995,"$116,112,375"
Ran,8.2,136K,"June 1, 1985 (Japan)","$11,500,000 (estimated)",US & Canada,$4135750,US & Canada,$3567,Jul 2 2000,"$4,166,319"
Jurassic Park,8.2,1.1M,"April 15, 1994 (India)","$63,000,000 (estimated)",US & Canada,$407185075,US & Canada,$47026828,Jun 13 1993,"$1,114,456,337"
The Sixth Sense,8.2,1M,"May 21, 2019 (India)","$40,000,000 (estimated)",US & Canada,$293506292,US & Canada,$26681262,Aug 8 1999,"$672,806,432"
El Laberinto Del Fauno,8.2,701K,"August 6, 2018 (India)","$19,000,000 (estimated)",US & Canada,$37646380,US & Canada,$568641,Dec 31 2006,"$83,863,565"
Unforgiven,8.2,435K,"October 9, 2020 (India)","$14,400,000 (estimated)",US & Canada,$101167799,US & Canada,$15018007,Aug 9 1992,"$159,167,799"
No Country for Old Men,8.2,1.1M,"January 18, 2008 (India)","$25,000,000 (estimated)",US & Canada,$74283625,US & Canada,$1202000,Nov 11 2007,"$171,632,777"
A Beautiful Mind,8.2,984K,"October 9, 2020 (India)","$58,000,000 (estimated)",US & Canada,$170742341,US & Canada,$367151,Dec 23 2001,"$316,791,257"
The Thing,8.2,465K,"December 10, 1982 (India)","$15,000,000 (estimated)",US & Canada,$19857465,US & Canada,$3107897,Jun 27 1982,"$19,872,469"
The Treasure of the Sierra Madre,8.2,132K,"January 24, 1948 (United States)","$3,000,000 (estimated)",US & Canada,$5014000,US & Canada,$144074,Jan 14 2018,"$5,014,000"
Kill Bill: Vol. 1,8.2,1.2M,"October 10, 2003 (United States)","$30,000,000 (estimated)",US & Canada,$70099045,US & Canada,$22200000,Oct 12 2003,"$180,908,413"
Yojimbo,8.2,131K,"April 25, 1961 (Japan)",Not Found,US & Canada,$46808,US & Canada,$15942,Jul 28 2002,"$46,808"
Monty Python and the Holy Grail,8.2,569K,"December 6, 1979 (India)","£229,575 (estimated)",US & Canada,$2562392,US & Canada,$45487,Jun 17 2001,"$2,812,669"
The Great Escape,8.2,258K,"July 4, 1963 (United States)","$4,000,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$230,637"
Finding Nemo,8.2,1.1M,"October 24, 2003 (India)","$94,000,000 (estimated)",US & Canada,$380843261,US & Canada,$70251710,Jun 1 2003,"$941,637,960"
Rashōmon,8.2,180K,"August 26, 1950 (Japan)","$250,000 (estimated)",US & Canada,$46808,US & Canada,$15942,Jul 28 2002,"$117,668"
Prisoners,8.2,805K,"September 27, 2013 (India)","$46,000,000 (estimated)",US & Canada,$61002302,US & Canada,$20817053,Sep 22 2013,"$122,127,446"
Hauru No Ugoku Shiro,8.2,446K,"April 1, 2020 (India)","$24,000,000 (estimated)",US & Canada,$6789268,US & Canada,$427987,Jun 12 2005,"$237,728,734"
The Elephant Man,8.2,258K,1983 (India),"$5,000,000 (estimated)",US & Canada,$26010864,US & Canada,Not Found,Not Found,"$26,028,672"
Chinatown,8.1,349K,"February 9, 2013 (India)","$6,000,000 (estimated)",US & Canada,$29200000,US & Canada,Not Found,Not Found,"$29,227,645"
Dial M for Murder,8.2,188K,"July 24, 2020 (India)","$1,400,000 (estimated)",US & Canada,$24845,US & Canada,$12562,Apr 11 1999,"$43,308"
